"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta20130003","Servicio Energia Electrica","20130003","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20130004","Servicio Agua","20130004","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20130005","Servicio Mantenimiento Oficinas","20130005","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20140001","Prestamos Bancarios","20140001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20140002","Intereses a Pagar","20140002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201510","Debitos por IVA","201510","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20151001","Debito Fiscal IVA 13%","20151001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201520","Impuestos por Pagar al SIN","201520","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152001","Impuesto a las transacciones por Pagar","20152001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152002","Retenciones IUE por Pagar","20152002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152003","Retenciones IT por Pagar","20152003","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152004","Impuesto a las Remesas al Exterior por Pagar","20152004","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152005","Retenciones RC- IVA por pagar","20152005","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152006","Impuesto sobre Utilidades por pagar","20152006","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152007","RC-IVA Dependientes por Pagar","20152007","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20152008","Retenciones IUE por Pagar Compras","20152008","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201530","Otros Impuestos por Pagar","201530","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
